,,,,,,,,,,,,,,,,,,
,Setting flow rate,,,,Machine flow rate,,,,,,,,Setting Pressure,,,,Machine Pressure,
,Time (s),Value(cm3),,,Time (s),Value(cm3),,,,,,,Time (s),Pressure (bar),,,Time (s),Pressure (bar)
0,0,0,,,0,0,,,,,,,0,0,,,0,0
84,,,,,0.398089,32.4324,,,,,,,,,,,0.424,308.108
85,,,,,0.398089,32.8378,,,,,,,,,,,0.472,308.108
86,,,,,0.406051,32.1622,,,,,,,,,,,0.472,316.216
87,,,,,0.406051,32.2973,,,,,,,,,,,0.48,316.216
88,,,,,0.414013,32.027,,,,,,,,,,,0.48,324.324
89,,,,,0.414013,31.8919,,,,,,,,,,,0.488,328.378
90,,,,,0.421975,31.7568,,,,,,,,,,,0.488,324.324
91,,,,,0.421975,31.4865,,,,,,,,,,,0.496,328.378
92,,,,,0.429936,31.3514,,,,,,,,,,,0.496,336.486
93,,,,,0.429936,30.9459,,,,,,,,,,,0.504,340.541
94,,,,,0.437898,30.5405,,,,,,,,,,,0.504,336.486
95,,,,,0.437898,30.8108,,,,,,,,,,,0.52,344.595
96,,,,,0.44586,30.5405,,,,,,,,,,,0.52,340.541
97,,,,,0.453822,30.6757,,,,,,,,,,,0.544,344.595
98,,,,,0.461783,30.4054,,,,,,,,,,,0.544,348.649
99,,,,,0.461783,30.6757,,,,,,,,,,,0.56,348.649
100,,,,,0.469745,30.2703,,,,,,,,,,,0.56,352.703
101,,,,,0.469745,29.5946,,,,,,,,,,,0.568,352.703
102,,,,,0.477707,29.4595,,,,,,,,,,,0.568,348.649
103,,,,,0.477707,29.1892,,,,,,,,,,,0.584,348.649
104,,,,,0.485669,29.3243,,,,,,,,,,,0.584,344.595
105,,,,,0.493631,29.4595,,,,,,,,,,,0.608,344.595
106,,,,,0.493631,29.7297,,,,,,,,,,,0.608,348.649
107,,,,,0.541401,30.5405,,,,,,,,,,,0.624,348.649
108,,,,,0.549363,30.6757,,,,,,,,,,,0.624,352.703
109,,,,,0.549363,30.8108,,,,,,,,,,,0.632,352.703
110,,,,,0.58121,31.3514,,,,,,,,,,,0.632,348.649
111,,,,,0.589172,31.0811,,,,,,,,,,,0.648,348.649
112,,,,,0.589172,31.2162,,,,,,,,,,,0.648,344.595
113,,,,,0.597134,30.8108,,,,,,,,,,,0.656,344.595
114,,,,,0.597134,30.9459,,,,,,,,,,,0.656,352.703
115,,,,,0.613057,30.4054,,,,,,,,,,,0.664,356.757
116,,,,,0.613057,30.5405,,,,,,,,,,,0.664,352.703
117,,,,,0.621019,30.2703,,,,,,,,,,,0.696,356.757
118,,,,,0.636943,30.6757,,,,,,,,,,,0.696,352.703
119,,,,,0.636943,30.5405,,,,,,,,,,,0.704,352.703
120,,,,,0.644904,30.8108,,,,,,,,,,,0.704,348.649
121,,,,,0.660828,30.5405,,,,,,,,,,,0.712,348.649
122,,,,,0.66879,30.5405,,,,,,,,,,,0.712,352.703
123,,,,,0.676752,30.4054,,,,,,,,,,,0.72,356.757
124,,,,,0.684713,30.4054,,,,,,,,,,,0.72,352.703
125,,,,,0.684713,30.2703,,,,,,,,,,,0.728,356.757
126,,,,,0.692675,30.1351,,,,,,,,,,,0.728,360.811
127,,,,,0.692675,29.7297,,,,,,,,,,,0.736,356.757
128,,,,,0.700637,29.4595,,,,,,,,,,,0.736,360.811
129,,,,,0.708599,30,,,,,,,,,,,0.744,352.703
130,,,,,0.708599,29.7297,,,,,,,,,,,0.744,356.757
131,,,,,0.716561,30.4054,,,,,,,,,,,0.776,352.703
132,,,,,0.716561,30.1351,,,,,,,,,,,0.776,356.757
133,,,,,0.724522,30.6757,,,,,,,,,,,0.784,360.811
134,,,,,0.724522,30.5405,,,,,,,,,,,0.784,356.757
135,,,,,0.740446,30.9459,,,,,,,,,,,0.792,360.811
136,,,,,0.764331,30.9459,,,,,,,,,,,0.792,356.757
137,,,,,0.796178,30.2703,,,,,,,,,,,0.808,356.757
138,,,,,0.796178,30.4054,,,,,,,,,,,0.808,352.703
139,,,,,0.80414,30.1351,,,,,,,,,,,0.832,352.703
140,,,,,0.828025,30.1351,,,,,,,,,,,0.832,356.757
141,,,,,0.835987,30.2703,,,,,,,,,,,0.848,356.757
142,,,,,0.859873,30.2703,,,,,,,,,,,0.848,360.811
143,,,,,0.867834,30.4054,,,,,,,,,,,0.856,360.811
144,,,,,0.875796,30.4054,,,,,,,,,,,0.856,356.757
145,,,,,0.883758,30.5405,,,,,,,,,,,0.864,356.757
146,,,,,0.899682,30.5405,,,,,,,,,,,0.864,352.703
147,,,,,0.923567,30.1351,,,,,,,,,,,0.872,352.703
148,,,,,0.947452,30.1351,,,,,,,,,,,0.872,356.757
149,,,,,0.955414,30,,,,,,,,,,,0.888,360.811
150,,,,,0.963376,30,,,,,,,,,,,0.888,356.757
151,,,,,0.971338,30.1351,,,,,,,,,,,0.904,360.811
152,,,,,0.979299,30.1351,,,,,,,,,,,0.904,364.865
153,,,,,0.987261,30.2703,,,,,,,,,,,0.912,364.865
154,,,,,0.995223,30.2703,,,,,,,,,,,0.912,360.811
155,,,,,1.00318,30.4054,,,,,,,,,,,0.928,360.811
156,,,,,1.00318,30.5405,,,,,,,,,,,0.928,356.757
157,,,,,1.01115,30.6757,,,,,,,,,,,0.936,364.865
158,,,,,1.01115,31.0811,,,,,,,,,,,0.936,356.757
159,,,,,1.01911,31.4865,,,,,,,,,,,0.944,364.865
160,,,,,1.02707,30.5405,,,,,,,,,,,0.944,368.919
161,,,,,1.02707,31.0811,,,,,,,,,,,0.976,364.865
162,,,,,1.03503,29.8649,,,,,,,,,,,0.976,368.919
163,,,,,1.03503,30.4054,,,,,,,,,,,0.984,360.811
164,,,,,1.04299,29.4595,,,,,,,,,,,0.984,364.865
165,,,,,1.05096,29.8649,,,,,,,,,,,0.992,360.811
166,,,,,1.05096,30,,,,,,,,,,,0.992,364.865
167,,,,,1.05892,30.1351,,,,,,,,,,,1.008,364.865
168,,,,,1.05892,30.2703,,,,,,,,,,,1.008,368.919
169,,,,,1.06688,30.4054,,,,,,,,,,,1.032,368.919
170,,,,,1.07484,30.4054,,,,,,,,,,,1.032,364.865
171,,,,,1.09076,30.6757,,,,,,,,,,,1.048,364.865
172,,,,,1.09873,30.6757,,,,,,,,,,,1.048,360.811
173,,,,,1.09873,30.8108,,,,,,,,,,,1.056,360.811
174,,,,,1.10669,30.4054,,,,,,,,,,,1.056,368.919
175,,,,,1.10669,30.5405,,,,,,,,,,,1.064,368.919
176,,,,,1.11465,30,,,,,,,,,,,1.064,372.973
177,,,,,1.11465,29.8649,,,,,,,,,,,1.072,372.973
178,,,,,1.11465,30.2703,,,,,,,,,,,1.072,368.919
179,,,,,1.12261,29.7297,,,,,,,,,,,1.088,368.919
180,,,,,1.13057,29.8649,,,,,,,,,,,1.088,360.811
181,,,,,1.13057,30.1351,,,,,,,,,,,1.112,360.811
182,,,,,1.13057,30,,,,,,,,,,,1.112,364.865
183,,,,,1.13854,30.4054,,,,,,,,,,,1.128,368.919
184,,,,,1.13854,30.2703,,,,,,,,,,,1.128,364.865
185,,,,,1.16242,30.4054,,,,,,,,,,,1.136,368.919
186,,,,,1.17038,30.6757,,,,,,,,,,,1.136,364.865
187,,,,,1.17038,30.5405,,,,,,,,,,,1.144,364.865
188,,,,,1.17834,30.8108,,,,,,,,,,,1.144,360.811
189,,,,,1.18631,30.6757,,,,,,,,,,,1.176,360.811
190,,,,,1.18631,30.5405,,,,,,,,,,,1.176,364.865
191,,,,,1.19427,30.4054,,,,,,,,,,,1.184,368.919
192,,,,,1.19427,30.2703,,,,,,,,,,,1.184,364.865
193,,,,,1.20223,30,,,,,,,,,,,1.192,368.919
194,,,,,1.21019,30.2703,,,,,,,,,,,1.192,364.865
195,,,,,1.21019,30.1351,,,,,,,,,,,1.256,360.811
196,,,,,1.21815,30.5405,,,,,,,,,,,1.256,364.865
197,,,,,1.21815,30.4054,,,,,,,,,,,1.272,356.757
198,,,,,1.24204,30.1351,,,,,,,,,,,1.272,360.811
199,,,,,1.26592,30.5405,,,,,,,,,,,1.28,356.757
200,,,,,1.30573,30.5405,,,,,,,,,,,1.28,360.811
201,,,,,1.32962,30.1351,,,,,,,,,,,1.288,360.811
202,,,,,1.33758,30.1351,,,,,,,,,,,1.288,364.865
203,,,,,1.34554,30,,,,,,,,,,,1.344,364.865
204,,,,,1.36943,30,,,,,,,,,,,1.344,368.919
205,,,,,1.37739,30.1351,,,,,,,,,,,1.352,368.919
206,,,,,1.39331,28.6486,,,,,,,,,,,1.352,372.973
207,,,,,1.39331,30.1351,,,,,,,,,,,1.392,372.973
208,,,,,1.40127,27.027,,,,,,,,,,,1.392,377.027
209,,,,,1.40127,28.5135,,,,,,,,,,,1.4,377.027
210,,,,,1.40924,24.7297,,,,,,,,,,,1.4,381.081
211,,,,,1.40924,26.8919,,,,,,,,,,,1.416,381.081
212,,,,,1.4172,22.4324,,,,,,,,,,,1.416,377.027
213,,,,,1.4172,24.5946,,,,,,,,,,,1.432,377.027
214,,,,,1.42516,18.2432,,,,,,,,,,,1.44,385.135
215,,,,,1.42516,22.2973,,,,,,,,,,,1.44,372.973
216,,,,,1.43312,18.1081,,,,,,,,,,,1.448,385.135
217,,,,,1.43312,12.2973,,,,,,,,,,,1.448,393.243
218,,,,,1.44108,12.1622,,,,,,,,,,,1.472,393.243
219,,,,,1.44108,8.24324,,,,,,,,,,,1.472,397.297
220,,,,,1.44904,8.10811,,,,,,,,,,,1.52,397.297
221,,,,,1.44904,6.35135,,,,,,,,,,,1.52,393.243
222,,,,,1.45701,6.21622,,,,,,,,,,,1.536,393.243
223,,,,,1.45701,4.45946,,,,,,,,,,,1.536,389.189
224,,,,,1.46497,4.32432,,,,,,,,,,,1.56,389.189
225,,,,,1.46497,3.10811,,,,,,,,,,,1.56,385.135
226,,,,,1.47293,2.97297,,,,,,,,,,,1.64,360.811
227,,,,,1.47293,2.2973,,,,,,,,,,,1.648,356.757
228,,,,,1.48089,2.16216,,,,,,,,,,,2.08,267.568
229,,,,,1.48089,1.75676,,,,,,,,,,,2.12,263.514
230,,,,,1.48885,1.62162,,,,,,,,,,,2.12,267.568
231,,,,,1.48885,1.48649,,,,,,,,,,,2.44,198.649
232,,,,,1.49682,1.35135,,,,,,,,,,,2.696,198.649
233,,,,,1.49682,1.21622,,,,,,,,,,,2.696,202.703
234,,,,,1.51274,0.945946,,,,,,,,,,,2.704,198.649
235,,,,,1.51274,0.810811,,,,,,,,,,,2.704,202.703
236,,,,,1.5207,0.675676,,,,,,,,,,,2.776,198.649
237,,,,,1.5207,0.540541,,,,,,,,,,,2.776,202.703
238,,,,,1.52866,0.540541,,,,,,,,,,,2.784,202.703
239,,,,,1.53662,0.405405,,,,,,,,,,,2.784,198.649
240,,,,,1.54459,0.405405,,,,,,,,,,,3.08,198.649
241,,,,,1.55255,0.27027,,,,,,,,,,,3.08,202.703
242,,,,,1.57643,0.135135,,,,,,,,,,,3.088,202.703
243,,,,,1.60828,0.135135,,,,,,,,,,,3.088,198.649
244,,,,,1.61624,0,,,,,,,,,,,3.12,198.649
245,,,,,5,0,,,,,,,,,,,3.12,202.703
246,,,,,,,,,,,,,,,,,3.128,202.703
247,,,,,,,,,,,,,,,,,3.128,198.649
248,,,,,,,,,,,,,,,,,3.72,198.649
249,,,,,,,,,,,,,,,,,3.72,202.703
250,,,,,,,,,,,,,,,,,3.728,198.649
251,,,,,,,,,,,,,,,,,3.728,202.703
252,,,,,,,,,,,,,,,,,4.368,198.649
253,,,,,,,,,,,,,,,,,4.368,202.703
254,,,,,,,,,,,,,,,,,4.376,202.703
255,,,,,,,,,,,,,,,,,4.376,198.649
256,,,,,,,,,,,,,,,,,4.568,198.649
257,,,,,,,,,,,,,,,,,4.568,202.703
258,,,,,,,,,,,,,,,,,4.576,198.649
259,,,,,,,,,,,,,,,,,4.576,202.703
260,,,,,,,,,,,,,,,,,4.672,198.649
261,,,,,,,,,,,,,,,,,4.672,202.703
262,,,,,,,,,,,,,,,,,4.68,198.649
263,,,,,,,,,,,,,,,,,4.68,202.703
264,,,,,,,,,,,,,,,,,4.848,202.703
265,,,,,,,,,,,,,,,,,4.848,198.649
266,,,,,,,,,,,,,,,,,4.856,202.703
267,,,,,,,,,,,,,,,,,4.856,198.649
268,,,,,,,,,,,,,,,,,5,198.649
269,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,
